ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,Nation Code,Year,Sport,Event,Medal
1,A Dijiang,Male,24,18-25,180,80,CHN,1992,Basketball,Basketball Men's Basketball,Not Registered
2,A Lamusi,Male,23,18-25,170,60,CHN,2012,Judo,Judo Men's Extra-Lightweight,Not Registered
3,Gunnar Nielsen Aaby,Male,24,18-25,NULL,NULL,DEN,1920,Football,Football Men's Football,Not Registered
4,Edgar Lindenau Aabye,Male,34,Over 30,NULL,NULL,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
8,"Cornelia ""Cor"" Aalten (-Strannood)",Female,18,18-25,168,NULL,NED,1932,Athletics,Athletics Women's 100 metres,Not Registered
8,"Cornelia ""Cor"" Aalten (-Strannood)",Female,18,18-25,168,NULL,NED,1932,Athletics,Athletics Women's 4 x 100 metres Relay,Not Registered
10,"Einar Ferdinand ""Einari"" Aalto",Male,26,25-30,NULL,NULL,FIN,1952,Swimming,Swimming Men's 400 metres Freestyle,Not Registered
12,Jyri Tapani Aalto,Male,31,Over 30,172,70,FIN,2000,Badminton,Badminton Men's Singles,Not Registered
13,Minna Maarit Aalto,Female,30,25-30,159,55.5,FIN,1996,Sailing,Sailing Women's Windsurfer,Not Registered
13,Minna Maarit Aalto,Female,34,Over 30,159,55.5,FIN,2000,Sailing,Sailing Women's Windsurfer,Not Registered
15,Arvo Ossian Aaltonen,Male,22,18-25,NULL,NULL,FIN,1912,Swimming,Swimming Men's 200 metres Breaststroke,Not Registered
15,Arvo Ossian Aaltonen,Male,22,18-25,NULL,NULL,FIN,1912,Swimming,Swimming Men's 400 metres Breaststroke,Not Registered
15,Arvo Ossian Aaltonen,Male,30,25-30,NULL,NULL,FIN,1920,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,Male,30,25-30,NULL,NULL,FIN,1920,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,Male,34,Over 30,NULL,NULL,FIN,1924,Swimming,Swimming Men's 200 metres Breaststroke,Not Registered
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Floor Exercise,Not Registered
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Parallel Bars,Not Registered
